#id	Twitter phrase	SNOMED description
0	_ drug _ has me dodging snowflakes 	hallucinations 
1	my hand tremors worse 	on examination - tremor outstretched hands 
2	so efficient at work 	efficient 
3	so efficient at work 	productivity at work 
4	so unfocussed 	unable to concentrate 
5	always being sleepy 	insomnia 
6	can not focus 	unable to concentrate 
7	just cleaned my entire apartment ... for no reason at all 	compulsive cleaning 
8	cleaning is the only way to survive 	compulsive cleaning 
9	awake for _ number _ days straight 	insomnia 
10	pee for _ number _ hours straight without stopping 	increased frequency of urination 
11	head feels like it 's about to explode 	headache 
12	such bad moodswings omg 	mood swings 
13	finished the paper and filling in the survey thing took like _ number _ minutes total 	productivity at work 
14	ca n't even sit straight 	fidgeting 
15	stabbed _ person _ _ number _ times 	homicide 
16	guilty/sad/anxious 	anxiety 
17	dick really really small 	small penis 
18	ca n't eat 	loss of appetite 
19	had me dodging parked cars like i 'm keanu reeves 	hallucinations 
20	need the bastard to start kicking in ! 	drug tolerance 
21	just my heart beat 	tachycardia 
22	kitchen cleaned bathroom cleaned _ number _ loads of laundry washed and put away _ number _ projects done 	compulsive cleaning 
23	just laying in bed for _ number _ hours 	insomnia 
24	kept me up for days 	insomnia 
25	stay up for way to long 	insomnia 
26	`` wrote _ number _ papers , cleaned my room , baked a pie , and worked out all within a couple hours '' 	productivity at work 
27	keeping me up 	insomnia 
28	i have n't slept 	insomnia 
29	ca n't sleep 	insomnia 
30	wo n't be able to sleep 	insomnia 
31	i wanted to die - 	suicidal 
32	wiggin out a little bit 	fidgeting 
33	feel my pulse in my feet 	pulse fast 
34	heart is beating so frickin fast 	tachycardia 
35	hard time concentrating 	unable to concentrate 
36	made me sleep great 	good sleep pattern 
37	_ drug _ had me folding my dirty laundry just to take it to the washer 	compulsive tidying 
38	this double i 'm about to work 	productivity at work 
39	buggin rn 	fidgeting 
40	temper tantrums and tears 	feeling angry 
41	keeping me going 	productivity at work 
42	i have n't eaten yet 	loss of appetite 
43	got me taping ripped pages in my book 	compulsive behavior 
44	the most chipper person 	cheerful mood 
45	i 'm happiest with _ drug _ 	cheerful mood 
46	jacks u up big time 	focussed attention 
47	triggered an addiction 	dependent drug abuse 
48	damn mornings r hard 	fatigue 
49	still tired as shit 	fatigue 
50	been up _ number _ days 	insomnia 
51	i need to take_drug _ to stay up 	awake 
52	`` this morning , i did all my math labs , did all my roommates ' laundry , cooked breakfast , and ran here '' 	productivity at work 
53	i was hungry earlier so i ate _ drug _ 	loss of appetite 
54	desperate to fall asleep but unable to close your eyes 	insomnia 
55	focus on studying 	focussed attention 
56	i can focus 	focussed attention 
57	let me sleep 	insomnia 
58	'' _ drug _ got me wanting to do laundry , homework , dishes , and bake a cake all at once '' 	productivity at work 
59	do n't want to fall asleep 	awake 
60	'' _ drug_has me planning out everyday of the rest of my life , hour by hour '' 	productivity at work 
61	things i have consumed today : _ number _ bottles of water _ number _ more bottles of water 	increased thirst 
62	have n't eaten anything 	loss of appetite 
63	i ca n't sleep 	insomnia 
64	make your focus go up 	focussed attention 
65	my hands shake too much for me to be able to do anything 	on examination - tremor outstretched hands 
66	not sleeeeeeep 	insomnia 
67	`` i might be able to '' `` sleep '' '' '' 	insomnia 
68	i should be studying for but literally ca n't 	unable to concentrate 
69	_ drug _ got me counting the bricks on the walkway 	compulsive behavior 
70	_ drug _ got me doing squats at _ number _ am 	awake 
71	need sleep 	insomnia 
72	makes u skinny 	weight loss 
73	_ drug_has me folding my laundry in mla format 	compulsive cleaning 
74	_ drug _ helps me focus harder on everything 	focused attention 
75	im still distracted 	unable to concentrate 
76	i 'm still up . and wide awake . 	awake 
77	_ drug _ has me cleaning everything 	compulsive cleaning 
78	_ drug _ had me figuring out how much i paid for each fry 	compulsive behavior 
79	_ drug _ makes my penis small : / 	small penis 
80	_ drug _ got me washing dishes and shit 	compulsive cleaning 
81	_ drug _ has me cleaning like ... _ url _ 	compulsive cleaning 
82	_ drug _ has kicked in and my energy level is _ number _ right now 	increased energy 
83	bloody tired still 	fatigue 
84	_ drug _ has my body all kinda of confused ... 	clouded consciousness 
85	actually wan na sleep 	insomnia 
86	she ai n't really sleepin 	insomnia 
87	i feel like super wired and jittery 	fidgeting 
88	_ drug_had me literally running into random peoples rooms and ocd cleaning their stuff yesterday afternoon 	compulsive cleaning 
89	has trouble paying attention to what 's goin on 	unable to concentrate 
90	took _ drug _ to stay up 	awake 
91	no appetite on _ drug _ 	hungry 
92	i have the worst handwriting when i take _ drug _ 	on examination - tremor outstretched hands 
93	heightens focus 	focused attention 
94	_ drug _ has me making my roommates bed 	compulsive cleaning 
95	i was like crazy cleaning everything 	compulsive cleaning 
96	ca n't sleep 	insomnia 
97	days without sleep 	insomnia 
98	_ drug _ as a valid substitute for sleep 	insomnia 
99	i start to get cold 	feels cold 
100	i ca n't stop cleaning 	compulsive cleaning 
101	makes me wan na do too many suicides 	suicidal 
102	my concentration is so weak 	unable to concentrate 
103	exhaustion 	fatigue 
104	you feel nothing until _ drug _ wears off then it hits you like a brick wall 	fatigue 
105	i ca n't stay focused 	unable to concentrate 
106	i 'm mentally not into sleeping 	awake 
107	_ drug _ got me memorizing my news feed 	focussed attention 
108	i focus better 	focussed attention 
109	developed shakes/tremors 	on examination - tremor outstretched hands 
110	i feel like my brain is twitching 	fidgeting 
111	took a whole full house episode 	compulsive behavior 
112	take _ drug _ and update your linkedin profile with meticulous detail 	compulsive behavior 
113	sleep is futile 	insomnia 
114	had me reading the terms and conditions 	focussed attention 
115	makes u not tired 	increased energy 
116	emotional meltdown 	dysthymia 
117	_ drug _ had me studying the effects of continental drift on early human ancestors 	focussed attention 
